手のひらを揃えた両手	手のひらを揃えた両手 🤲
書いている手	書いている手 ✍
マニキュアを塗る手	マニキュアを塗る手 💅
セルフィー	セルフィー 🤳
目	目 👀
片目	片目 👁
耳	耳 👂
鼻	鼻 👃
口	口 👄
舌	舌 👅
力こぶ	力こぶ 💪
骨	骨 🦴
脚	脚 🦵
足	足 🦶
歯	歯 🦷
補聴器を付けた耳	補聴器を付けた耳 🦻
義手	義手 🦾
義足	義足 🦿
脳	脳 🧠
心臓	心臓 🫀
肺	肺 🫁
男の子	男の子 👦
女の子	女の子 👧
男の人	男の人 👨
男性: 赤毛	男性: 赤毛 👨‍🦰
男性: 巻き毛	男性: 巻き毛 👨‍🦱
男性: はげ頭	男性: はげ頭 👨‍🦲
男性: 白髪	男性: 白髪 👨‍🦳
女の人	女の人 👩
女性: 赤毛	女性: 赤毛 👩‍🦰
女性: 巻き毛	女性: 巻き毛 👩‍🦱
女性: はげ頭	女性: はげ頭 👩‍🦲
女性: 白髪	女性: 白髪 👩‍🦳
金髪の人	金髪の人 👱
金髪の女性	金髪の女性 👱‍♀️
金髪の男性	金髪の男性 👱‍♂️
おじいさん	おじいさん 👴
おばあさん	おばあさん 👵
赤ん坊	赤ん坊 👶
大人	大人 🧑
大人: 赤毛	大人: 赤毛 🧑‍🦰
大人: 巻き毛	大人: 巻き毛 🧑‍🦱
大人: はげ頭	大人: はげ頭 🧑‍🦲
大人: 白髪	大人: 白髪 🧑‍🦳
子供	子供 🧒
お年寄り	お年寄り 🧓
あごひげの人	あごひげの人 🧔
あごひげの女性	あごひげの女性 🧔‍♀️
あごひげの男性	あごひげの男性 🧔‍♂️
案内する人	案内する人 💁
案内する女	案内する女 💁‍♀️
案内する男	案内する男 💁‍♂️
ダメのポーズをする人	ダメのポーズをする人 🙅
ダメのポーズをする女	ダメのポーズをする女 🙅‍♀️
ダメのポーズをする男	ダメのポーズをする男 🙅‍♂️
OKのポーズをする人	OKのポーズをする人 🙆
OKのポーズをする女	OKのポーズをする女 🙆‍♀️
OKのポーズをする男	OKのポーズをする男 🙆‍♂️
おじぎする人	おじぎする人 🙇
おじぎする女	おじぎする女 🙇‍♀️
おじぎする男	おじぎする男 🙇‍♂️
手を挙げる人	手を挙げる人 🙋
手を挙げる女	手を挙げる女 🙋‍♀️
手を挙げる男	手を挙げる男 🙋‍♂️
しかめ面の人	しかめ面の人 🙍
しかめ面の女	しかめ面の女 🙍‍♀️
しかめ面の男	しかめ面の男 🙍‍♂️
不機嫌な人	不機嫌な人 🙎
不機嫌な女	不機嫌な女 🙎‍♀️
不機嫌な男	不機嫌な男 🙎‍♂️
ひたいに手をあてる人	ひたいに手をあてる人 🤦
ひたいに手をあてる女	ひたいに手をあてる女 🤦‍♀️
ひたいに手をあてる男	ひたいに手をあてる男 🤦‍♂️
お手上げする人	お手上げする人 🤷
お手上げする女	お手上げする女 🤷‍♀️
お手上げする男	お手上げする男 🤷‍♂️
耳の不自由な人	耳の不自由な人 🧏
耳の不自由な女性	耳の不自由な女性 🧏‍♀️
耳の不自由な男性	耳の不自由な男性 🧏‍♂️
男性の医者	男性の医者 👨‍⚕️
男性の裁判官	男性の裁判官 👨‍⚖️
男性パイロット	男性パイロット 👨‍✈️
農家の男性	農家の男性 👨‍🌾
男性のコック	男性のコック 👨‍🍳
授乳する男性	授乳する男性 👨‍🍼
男子学生	男子学生 👨‍🎓
男性歌手	男性歌手 👨‍🎤
男性の芸術家	男性の芸術家 👨‍🎨
男性の教師	男性の教師 👨‍🏫
男性の溶接工	男性の溶接工 👨‍🏭
男性技術者	男性技術者 👨‍💻
男性会社員	男性会社員 👨‍💼
男性の整備士	男性の整備士 👨‍🔧
男性科学者	男性科学者 👨‍🔬
男性宇宙飛行士	男性宇宙飛行士 👨‍🚀
男性消防士	男性消防士 👨‍🚒
女性の医者	女性の医者 👩‍⚕️
女性の裁判官	女性の裁判官 👩‍⚖️
女性パイロット	女性パイロット 👩‍✈️
農家の女性	農家の女性 👩‍🌾
女性のコック	女性のコック 👩‍🍳
授乳する女性	授乳する女性 👩‍🍼
女子学生	女子学生 👩‍🎓
女性歌手	女性歌手 👩‍🎤
女性の芸術家	女性の芸術家 👩‍🎨
女性の教師	女性の教師 👩‍🏫
女性の溶接工	女性の溶接工 👩‍🏭
女性技術者	女性技術者 👩‍💻
女性会社員	女性会社員 👩‍💼
女性の整備士	女性の整備士 👩‍🔧
女性科学者	女性科学者 👩‍🔬
女性宇宙飛行士	女性宇宙飛行士 👩‍🚀
女性消防士	女性消防士 👩‍🚒
警察官	警察官 👮
女性警察官	女性警察官 👮‍♀️
男性警察官	男性警察官 👮‍♂️
ベールの人	ベールの人 👰
ベールの女性	ベールの女性 👰‍♀️
ベールの男性	ベールの男性 👰‍♂️
中華帽の男性	中華帽の男性 👲
ターバンの人	ターバンの人 👳
ターバンの女性	ターバンの女性 👳‍♀️
ターバンの男性	ターバンの男性 👳‍♂️
建設作業員	建設作業員 👷
女性の建設作業員	女性の建設作業員 👷‍♀️
男性の建設作業員	男性の建設作業員 👷‍♂️
プリンセス	プリンセス 👸
衛兵	衛兵 💂
女性の衛兵	女性の衛兵 💂‍♀️
男性の衛兵	男性の衛兵 💂‍♂️
探偵	探偵 🕵
女性の探偵	女性の探偵 🕵️‍♀️
男性の探偵	男性の探偵 🕵️‍♂️
妊婦	妊婦 🤰
授乳	授乳 🤱
プリンス	プリンス 🤴
タキシードの人	タキシードの人 🤵
タキシードの女性	タキシードの女性 🤵‍♀️
タキシードの男性	タキシードの男性 🤵‍♂️
忍者	忍者 🥷
医者	医者 🧑‍⚕️
裁判官	裁判官 🧑‍⚖️
パイロット	パイロット 🧑‍✈️
農家	農家 🧑‍🌾
コック	コック 🧑‍🍳
授乳する人	授乳する人 🧑‍🍼
学生	学生 🧑‍🎓
歌手	歌手 🧑‍🎤
芸術家	芸術家 🧑‍🎨
教師	教師 🧑‍🏫
溶接工	溶接工 🧑‍🏭
技術者	技術者 🧑‍💻
会社員	会社員 🧑‍💼
整備士	整備士 🧑‍🔧
科学者	科学者 🧑‍🔬
宇宙飛行士	宇宙飛行士 🧑‍🚀
消防士	消防士 🧑‍🚒
スカーフの女性	スカーフの女性 🧕
サンタ	サンタ 🎅
天使	天使 👼
女性のサンタ	女性のサンタ 🤶
スーパーヒーロー	スーパーヒーロー 🦸
女性のスーパーヒーロー	女性のスーパーヒーロー 🦸‍♀️
男性のスーパーヒーロー	男性のスーパーヒーロー 🦸‍♂️
悪役	悪役 🦹
女性の悪役	女性の悪役 🦹‍♀️
男性の悪役	男性の悪役 🦹‍♂️
サンタさん	サンタさん 🧑‍🎄
魔法使い	魔法使い 🧙
